code,name_x,trade,pe,outstanding,totals,reservedPerShare,esp,report_date,shares
300497,富祥股份,63.3,40.39,0.27,1.12,3.53,1.2,2016-04-26,0
002627,宜昌交运,24.55,57.02,1.31,1.34,3.38,0.323,2016-04-26,0
300280,南通锻压,32.2,710.26,1.28,1.28,3.3,0.034,2016-04-26,0
300305,裕兴股份,12.81,55.47,1.51,2.91,2.08,0.173,2016-04-26,0
300109,新开源,50.0,99.87,0.84,1.7,4.96,0.375,2016-04-26,0
603116,红蜻蜓,22.57,33.93,1.81,4.09,2.24,0.499,2016-04-26,0
002798,帝王洁具,67.0,169.06,0.22,0.86,2.66,0.35,2016-06-08,0
603997,继峰股份,19.52,34.72,1.14,4.2,0.97,0.422,2016-04-26,0
300447,全信股份,50.55,71.11,0.55,1.63,0.73,0.533,2016-04-26,0
300404,博济医药,35.07,1203.89,0.65,1.33,1.19,0.022,2016-04-26,0
300471,厚普股份,45.3,56.38,0.87,1.48,6.45,0.603,2016-04-26,0
300478,杭州高新,61.43,132.41,0.24,0.67,3.6,0.348,2016-04-26,0
000668,荣丰控股,24.96,0.0,1.47,1.47,0.55,-0.273,2016-04-27,0
002766,索菱股份,34.58,78.21,0.88,1.83,2.33,0.332,2016-04-26,0
300456,耐威科技,53.85,424.31,0.71,1.85,4.92,0.1,2016-04-26,0
300483,沃施股份,54.98,199.61,0.32,0.61,3.09,0.207,2016-04-26,0
300379,东方通,69.31,159.35,0.63,1.38,9.35,0.37,2016-04-26,0
300385,雪浪环境,36.8,81.76,0.48,1.2,2.64,0.338,2016-04-26,0
300409,道氏技术,35.51,69.22,0.91,2.15,2.93,0.39,2016-04-26,0
300499,高澜股份,46.34,180.95,0.3,1.2,1.79,0.2,2016-04-26,0
300399,京天利,32.33,128.8,0.44,1.52,0.42,0.188,2016-04-26,0
603088,宁波精达,55.89,159.39,0.25,0.8,2.95,0.263,2016-04-26,0
002781,奇信股份,33.6,59.42,0.92,2.25,3.18,0.424,2016-04-26,0
002749,国光股份,86.1,38.31,0.19,0.75,4.41,1.685,2016-04-26,0
002780,三夫户外,76.6,427.02,0.37,0.67,2.5,0.14,2016-04-26,0
603017,中衡设计,21.51,54.85,1.2,2.75,3.56,0.33,2016-04-26,0
300063,天龙集团,31.71,56.03,1.38,2.91,5.58,0.424,2016-04-26,0
002762,金发拉比,37.2,115.05,0.51,2.02,1.48,0.243,2016-04-25,0
300445,康斯特,28.92,150.65,0.41,1.66,0.34,0.144,2016-04-26,0
300321,同大股份,37.6,108.17,0.82,0.89,2.68,0.261,2016-04-26,0
002319,乐通股份,21.56,659.6,2.0,2.0,0.52,0.025,2016-04-26,0
002705,新宝股份,16.62,21.91,1.35,5.75,1.01,0.569,2016-04-26,0
300446,乐凯新材,37.9,45.59,0.75,1.23,0.29,0.624,2016-04-26,0
600272,开开实业,19.64,251.88,1.6,2.43,0.06,0.058,2016-04-29,0
300508,维宏股份,121.08,146.16,0.12,0.57,3.52,0.68,2016-05-11,0
300511,雪榕生物,51.23,186.46,0.38,1.5,4.22,0.23,2016-05-24,0
300509,新美星,61.95,97.46,0.2,0.8,3.83,0.54,2016-06-01,0
603701,德宏股份,63.06,70.84,0.2,0.78,3.32,0.75,2016-06-02,0
300429,强力新材,33.01,67.31,0.99,2.57,1.48,0.38,2016-04-29,0
603918,金桥信息,31.9,1001.14,1.23,1.76,0.69,0.024,2016-04-29,0
603223,恒通股份,33.59,67.68,0.79,1.2,2.34,0.372,2016-04-29,0
600241,时代万恒,15.51,0.0,1.93,2.26,1.68,-0.043,2016-04-29,0
603999,读者传媒,32.49,112.67,1.15,2.88,1.97,0.216,2016-04-27,0
300270,中威电子,15.08,94.52,1.45,2.73,0.54,0.12,2016-04-27,0
300461,田中精机,67.72,987.43,0.24,0.67,2.29,0.051,2016-04-27,0
600774,汉商集团,21.78,414.82,1.74,1.75,0.74,0.039,2016-04-28,0
603518,维格娜丝,35.09,57.72,0.56,1.48,5.0,0.456,2016-04-28,0
603222,济民制药,17.75,166.87,1.13,3.2,0.62,0.08,2016-04-28,0
603611,诺力股份,38.15,38.04,0.93,1.6,1.48,0.752,2016-04-28,0
603616,韩建河山,18.85,0.0,1.47,2.93,0.87,-0.023,2016-04-28,0
603838,四通股份,16.2,67.68,0.97,2.67,0.52,0.18,2016-04-28,0
603936,博敏电子,32.89,105.3,0.56,1.67,2.05,0.234,2016-04-28,0
300487,蓝晓科技,56.55,77.04,0.33,0.81,4.98,0.551,2016-04-25,0
